Demo_ID,Group,Phase_Label,Gracefulness,Smoothness,Pupil_Variation_Rate,Static_Entropy,Transition_Entropy
22,Global_Adaptive,5,2.8703326134990936,-3.1004135097419665,0.013556948068223135,5.585040403983062,1.3247625322682526
23,Global_Adaptive,1,3.0183926186940253,-4.467494776661974,0.018182947198939307,4.75505111220259,1.2911920688061351
23,Global_Adaptive,3,2.9288174502161373,-3.4641772021894592,0.014561949844102022,5.200876702423394,1.0718657876679005
23,Global_Adaptive,5,3.055514374135808,-3.626777703062557,0.025305707609501453,5.369846471713666,1.019878867804991
24,Global_Adaptive,1,,,0.0,3.3931271734483177,0.8367440216450666
24,Global_Adaptive,1,2.984318839283051,-3.656518956533021,0.02151217950683105,2.93888607770687,0.6145053994281231
24,Global_Adaptive,3,2.722567196268689,-1.3571275276152612,0.018402231215096897,5.290656965247735,1.0224469806250231
24,Global_Adaptive,3,,,0.0,4.090018266288633,0.9693609377704335
24,Global_Adaptive,5,2.6715858526436382,-3.2673648432857725,0.022965144358941744,5.305406671294813,1.0653625357078471
25,Global_Adaptive,1,2.7394700109827905,-6.2610587531820325,0.021249955448031453,2.8993138692042506,0.4715061693085079
25,Global_Adaptive,3,2.631514695338027,-2.37924568689135,0.02326817013258495,5.013937077316402,0.6821128399877445
25,Global_Adaptive,3,,,3.615697614619547e-16,4.110577243331642,0.5574871598013147
25,Global_Adaptive,3,2.9356326595871405,-2.2044503801157846,0.021856365750620086,4.746892875226625,1.064280087785248
25,Global_Adaptive,5,3.1220163667521295,-4.69767380483275,0.01976321291807502,4.760405092002414,0.8271907856541761
26,Phased_Adaptive,1,3.30627121930166,-5.187652048300304,0.024521031420053085,3.453518797080387,0.6734293082797207
26,Phased_Adaptive,3,3.00954588334866,-1.6558503697178772,0.024378655934820387,5.932743989041184,1.1090221861226628
26,Phased_Adaptive,5,2.884056359346288,-5.18537183154609,0.009342047185865735,4.751651074222538,1.0629604899166152
27,Phased_Adaptive,1,3.654208180658884,-4.527460600012228,0.024792119368097176,3.354202988097039,0.5548374983056918
27,Phased_Adaptive,3,3.069544675262331,0.43151880840429646,0.03282161200936914,5.814035561028989,0.8129137050816952
27,Phased_Adaptive,5,2.8993884840438096,-4.386687093813562,0.013386629478327486,3.576690120996787,0.7146443033529615
28,Phased_Adaptive,1,2.842173225329276,-6.202399200830232,0.022000364879710806,3.8165858262301646,0.5916778220218867
28,Phased_Adaptive,3,2.7517183570928436,-3.2349879915012205,0.02330785805135148,5.651444650355669,0.6801380454829193
28,Phased_Adaptive,3,2.471065407458227,-4.5324497004009014,0.01781398548433545,5.062056305429851,0.8026614016738739
28,Phased_Adaptive,5,3.389559277585214,-4.630378484218459,0.018020204584054244,4.972824620746345,0.7917325141310241
29,Phased_Adaptive,1,3.4758448832566917,-3.349250022103266,0.024602126012846004,2.8364628424794174,0.33545706112909024
29,Phased_Adaptive,3,2.8566253082675965,-1.7969549023014078,0.022371019819301025,5.739444092951539,0.9699029776642767
29,Phased_Adaptive,5,3.3797566272739354,-6.787548152956557,0.024338824020495076,3.7947404900715687,1.3645847811558036
30,Phased_Adaptive,1,3.044807834681594,-5.954681289908649,0.022114232519876167,3.229340308963595,0.508123093912327
30,Phased_Adaptive,3,2.9994026272292853,-1.262018916815432,0.020014093162712812,6.130259237608056,1.0396862501090092
30,Phased_Adaptive,5,2.8168654660067842,-3.4240583292935893,0.02190356870197571,4.947625299835775,0.9974030046969735
